name,Debut-year,wins
Boston Bruins,1990,44
Buffalo Sabres,1990,31
Calgary Flames,1990,46
Chicago Blackhawks,1990,49
Detroit Red Wings,1990,34
Edmonton Oilers,1990,37
Hartford Whalers,1990,31
Los Angeles Kings,1990,46
Minnesota North Stars,1990,27
Montreal Canadiens,1990,39
New Jersey Devils,1990,32
New York Islanders,1990,25
New York Rangers,1990,36
Philadelphia Flyers,1990,33
Pittsburgh Penguins,1990,41
Quebec Nordiques,1990,16
St. Louis Blues,1990,47
Toronto Maple Leafs,1990,23
Vancouver Canucks,1990,28
Washington Capitals,1990,37
Winnipeg Jets,1990,26
Boston Bruins,1991,36
Buffalo Sabres,1991,31
Calgary Flames,1991,31
Chicago Blackhawks,1991,36
name,Debut-year,wins
Boston Bruins,1990,44
Buffalo Sabres,1990,31
Calgary Flames,1990,46
Chicago Blackhawks,1990,49
Detroit Red Wings,1990,34
Edmonton Oilers,1990,37
Hartford Whalers,1990,31
Los Angeles Kings,1990,46
Minnesota North Stars,1990,27
Montreal Canadiens,1990,39
New Jersey Devils,1990,32
New York Islanders,1990,25
New York Rangers,1990,36
Philadelphia Flyers,1990,33
Pittsburgh Penguins,1990,41
Quebec Nordiques,1990,16
St. Louis Blues,1990,47
Toronto Maple Leafs,1990,23
Vancouver Canucks,1990,28
Washington Capitals,1990,37
Winnipeg Jets,1990,26
Boston Bruins,1991,36
Buffalo Sabres,1991,31
Calgary Flames,1991,31
Chicago Blackhawks,1991,36
